year_month,parameter,average,se
2022_09,0pCO2,801.6218213,157.5393832
2022_10,0pCO2,810.4032263,107.3316861
2022_11,0pCO2,976.233641,155.2609593
2022_12,0pCO2,994.8660169,74.66900451
2023_01,0pCO2,1013.770548,136.7728543
2023_02,0pCO2,992.6424988,192.7899123
2023_03,0pCO2,3287.737299,238.8717688
2023_04,0pCO2,2637.13502,304.0926828
2023_05,0pCO2,1344.555686,214.2127768
2023_06,0pCO2,2274.824276,194.7669778
2023_07,0pCO2,1042.722787,143.5774844
2023_08,0pCO2,2033.122752,218.1888677
2022_09,1Chla,15.3802,0.991959977
2022_10,1Chla,9.009857143,0.317049284
2022_11,1Chla,6.723722222,0.25126839
2022_12,1Chla,5.932033333,0.32577693
2023_01,1Chla,5.48625,0.162935407
2023_02,1Chla,6.828854167,0.108291398
2023_03,1Chla,3.070416667,0.218483783
2023_04,1Chla,5.358194444,0.315523676
2023_05,1Chla,1.564791667,0.042048488
2023_06,1Chla,2.923472222,0.096161097
2023_07,1Chla,5.821111111,0.49869581
2023_08,1Chla,7.585333333,0.510521511
2022_09,2DOC,3.318912,0.112934579
2022_10,2DOC,3.044837429,0.037744152
2022_11,2DOC,3.054345,0.021857227
2022_12,2DOC,3.069543,0.029458085
2023_01,2DOC,3.01997375,0.020797856
2023_02,2DOC,3.020737,0.031473254
2023_03,2DOC,3.166185,0.037133966
2023_04,2DOC,3.109909333,0.036060111
2023_05,2DOC,3.2060304,0.042333237
2023_06,2DOC,3.204751333,0.073519226
2023_07,2DOC,2.978513333,0.019121174
2023_08,2DOC,3.0003718,0.041866769
