month,season,pCO2,Chl
2022_09,1Autumn,417.0647726,13.254
2022_09,1Autumn,505.4930087,16.4808
2022_09,1Autumn,164.7563807,8.7738
2022_09,1Autumn,186.9411121,29.4144
2022_09,1Autumn,879.8608463,8.978
2022_10,1Autumn,761.4219174,6.578
2022_10,1Autumn,1303.153819,7.467
2022_10,1Autumn,966.2519119,14.045
2022_10,1Autumn,1133.89008,11.067
2022_10,1Autumn,1455.289925,8.667
2022_10,1Autumn,679.5304799,6.578
2022_10,1Autumn,450.6628828,8.667
2022_11,1Autumn,752.867626,5.378
2022_11,1Autumn,2428.598644,5.067
2022_11,1Autumn,555.4574059,8.667
2022_11,1Autumn,826.4064398,5.378
2022_11,1Autumn,1283.62148,5.689
2022_11,1Autumn,944.6500571,10.16333333
2022_12,2Winter,1737.300432,9.363333333
2022_12,2Winter,619.9487494,4.489
2022_12,2Winter,1298.484706,2.8445
2022_12,2Winter,828.9451413,4.61125
2022_12,2Winter,1089.4759,8.352083333
2023_01,2Winter,1070.888915,7.481666667
2023_01,2Winter,1706.758677,5.11125
2023_01,2Winter,1984.470374,4.240833333
2023_01,2Winter,943.0695364,5.11125
2023_02,2Winter,706.6138707,7.61125
2023_02,2Winter,365.9162426,7.481666667
2023_02,2Winter,1167.254918,6.61125
2023_02,2Winter,1611.261985,5.61125
2023_03,3Spring,1175.140079,2.870416667
2023_03,3Spring,1775.369349,2.5
2023_03,3Spring,4812.514355,2.870416667
2023_03,3Spring,2289.961782,6.11125
2023_03,3Spring,1254.032961,1
2023_04,3Spring,3175.270128,4.981666667
2023_04,3Spring,580.1320325,8.2225
2023_04,3Spring,1599.244423,2.870416667
2023_05,3Spring,2134.296098,1.129583333
2023_05,3Spring,551.4673558,0
2023_05,3Spring,660.3268293,1.5
2023_05,3Spring,1526.462547,2
2023_05,3Spring,1712.225981,1.629583333
2023_06,4Summer,1014.416811,3.870416667
2023_06,4Summer,320.0500811,2.4
2023_06,4Summer,766.681836,2.5
2023_07,4Summer,1863.157421,3.740833333
2023_07,4Summer,207.804228,10.7225
2023_07,4Summer,771.2325687,3
2023_08,4Summer,1197.1661,4
2023_08,4Summer,1146.654384,7.481666667
2023_08,4Summer,3068.24833,14.96333333
2023_08,4Summer,1472.415165,6.740833333
2023_08,4Summer,516.1033813,4.740833333
