season,pCO2_maxmin,value,variable
1Autumn,1734.251654,453.068875,PAR_ave
1Autumn,2335.38655,409.2235,PAR_ave
1Autumn,480.663366,523.63905,PAR_ave
1Autumn,664.3946701,352.850875,PAR_ave
1Autumn,1671.840738,250.127425,PAR_ave
1Autumn,1981.171709,105.2289,PAR_ave
1Autumn,2494.915558,326.54365,PAR_ave
1Autumn,1533.052212,293.9728,PAR_ave
1Autumn,1500.900227,324.455775,PAR_ave
1Autumn,1966.407948,455.9919,PAR_ave
1Autumn,1663.573943,282.698275,PAR_ave
1Autumn,1940.052897,470.18945,PAR_ave
1Autumn,1702.70642,213.380825,PAR_ave
1Autumn,896.6069696,153.250025,PAR_ave
1Autumn,1365.363733,187.0736,PAR_ave
1Autumn,1103.764734,162.0191,PAR_ave
1Autumn,699.3496609,176.634225,PAR_ave
1Autumn,1085.334975,439.706475,PAR_ave
1Autumn,996.4859843,339.0709,PAR_ave
1Autumn,862.4542264,129.44825,PAR_ave
1Autumn,1205.990864,269.75345,PAR_ave
1Autumn,1149.610078,271.42375,PAR_ave
1Autumn,984.6928982,217.139,PAR_ave
1Autumn,1152.105676,136.9646,PAR_ave
1Autumn,1295.817316,310.258225,PAR_ave
1Autumn,1123.694518,132.78885,PAR_ave
2Winter,1153.605202,136.9646,PAR_ave
2Winter,1175.603518,231.754125,PAR_ave
2Winter,887.2088897,167.447575,PAR_ave
2Winter,804.5439453,192.502075,PAR_ave
2Winter,1070.319856,210.040225,PAR_ave
2Winter,1300.606847,189.161475,PAR_ave
2Winter,1066.639012,249.292275,PAR_ave
2Winter,983.3507779,258.8965,PAR_ave
2Winter,1081.614748,222.98505,PAR_ave
2Winter,1053.706069,164.106975,PAR_ave
2Winter,939.5771242,227.1608,PAR_ave
2Winter,1038.011901,242.611075,PAR_ave
2Winter,989.5942251,228.8311,PAR_ave
2Winter,441.9360536,111.07495,PAR_ave
2Winter,1701.08533,208.7875,PAR_ave
2Winter,501.0544404,117.75615,PAR_ave
2Winter,554.9765394,212.1281,PAR_ave
2Winter,579.6887975,260.5668,PAR_ave
2Winter,553.1865254,258.478925,PAR_ave
2Winter,335.5148547,304.412175,PAR_ave
2Winter,839.9282468,181.645125,PAR_ave
2Winter,707.0424974,287.2916,PAR_ave
2Winter,496.8068126,174.963925,PAR_ave
2Winter,794.148452,263.9074,PAR_ave
2Winter,1459.000462,284.78615,PAR_ave
2Winter,2413.62216,425.9265,PAR_ave
2Winter,2174.015078,396.69625,PAR_ave
3Spring,5065.605715,298.14855,PAR_ave
3Spring,2733.343034,369.97145,PAR_ave
3Spring,2826.56426,215.4687,PAR_ave
3Spring,2641.385615,298.566125,PAR_ave
3Spring,3305.841344,474.782775,PAR_ave
3Spring,3733.967209,546.1881,PAR_ave
3Spring,3731.760912,473.947625,PAR_ave
3Spring,2905.015136,526.1445,PAR_ave
3Spring,1867.491458,493.57365,PAR_ave
3Spring,1084.845553,161.601525,PAR_ave
3Spring,1515.025114,610.077075,PAR_ave
3Spring,1969.962493,333.22485,PAR_ave
3Spring,1899.706687,584.187425,PAR_ave
3Spring,1475.962653,534.496,PAR_ave
3Spring,1418.366504,382.916275,PAR_ave
3Spring,376.0049874,387.5096,PAR_ave
3Spring,1022.684455,154.920325,PAR_ave
3Spring,861.391573,485.22215,PAR_ave
3Spring,1053.321089,589.198325,PAR_ave
3Spring,2596.790674,516.1227,PAR_ave
3Spring,1294.646676,430.519825,PAR_ave
4Summer,1592.559889,58.878075,PAR_ave
4Summer,5761.834045,496.91425,PAR_ave
4Summer,2781.792874,639.307325,PAR_ave
4Summer,2385.491277,548.275975,PAR_ave
4Summer,2909.243042,428.43195,PAR_ave
4Summer,3499.618512,448.057975,PAR_ave
4Summer,1593.118118,288.2866723,PAR_ave
4Summer,1948.87932,389.3575915,PAR_ave
4Summer,2385.778153,692.1438894,PAR_ave
4Summer,3557.822674,612.8224085,PAR_ave
4Summer,3469.2478,267.665575,PAR_ave
4Summer,2325.420121,543.265075,PAR_ave
4Summer,2786.990205,457.6622,PAR_ave
4Summer,2712.172411,363.707825,PAR_ave
4Summer,2976.901812,446.80525,PAR_ave
4Summer,3474.275598,383.33385,PAR_ave
4Summer,2090.017039,319.0273,PAR_ave
4Summer,2337.272795,336.147875,PAR_ave
4Summer,1049.540961,161.601525,PAR_ave
4Summer,943.1010598,239.270475,PAR_ave
4Summer,1178.185334,215.051125,PAR_ave
4Summer,721.6352639,342.4115,PAR_ave
4Summer,1159.962286,666.867275,PAR_ave
4Summer,1160.660167,587.528025,PAR_ave
4Summer,918.3037897,484.387,PAR_ave
4Summer,1928.204695,517.793,PAR_ave
4Summer,2059.969073,696.932675,PAR_ave
4Summer,1871.146049,704.8666,PAR_ave
4Summer,1628.374802,603.395875,PAR_ave
4Summer,1390.54995,563.72625,PAR_ave
4Summer,1619.148358,631.3734,PAR_ave
4Summer,1507.906049,658.515775,PAR_ave
4Summer,1498.332779,644.7358,PAR_ave
4Summer,1854.67968,662.27395,PAR_ave
4Summer,1815.892164,222.567475,PAR_ave
4Summer,4030.301036,443.882225,PAR_ave
4Summer,2537.405959,521.96875,PAR_ave
4Summer,3643.487337,442.211925,PAR_ave
4Summer,6729.125792,652.669725,PAR_ave
4Summer,2613.436624,411.72895,PAR_ave
4Summer,4058.511042,325.7085,PAR_ave
4Summer,2941.907028,551.616575,PAR_ave
4Summer,3240.379863,617.593425,PAR_ave
4Summer,2537.512206,614.6704,PAR_ave
4Summer,2894.859371,491.0682,PAR_ave
4Summer,5024.145515,619.263725,PAR_ave
