year_month,time,pCO2_ave,pCO2_SE,PAR,WT,WT_SE,dpCO2T_obs,dpCO2T_obs_se,dpCO2T_model
2022_09_11,0.235042735,771.6728731,147.0350869,0,21.56216326,0.510834049,46.65417593,32.70727318,31.10536749
2022_09_11,0.735042735,809.0871277,155.2045989,0,21.51644319,0.511435254,38.60313867,30.08494523,32.68271007
2022_09_11,1.235042735,823.5190434,156.9597405,0,21.48474907,0.507906832,16.53271062,20.01694855,33.77615707
2022_09_11,1.735042735,834.7974375,159.841741,0,21.44320174,0.511037531,13.68486357,25.94373541,35.20953982
2022_09_11,2.235042735,837.0410807,155.0715799,0,21.40714422,0.510487663,2.294425186,31.04690577,36.45352435
2022_09_11,2.735042735,848.9699119,151.9128437,0,21.37579199,0.509680186,12.47111446,25.83413628,37.53517648
2022_09_11,3.235042735,855.4352677,154.2071787,0,21.33449664,0.506924312,6.942950627,15.06239438,38.959866
2022_09_11,3.735042735,874.7558795,155.0661613,0,21.31537106,0.506510007,18.77344045,19.9293219,39.61969855
2022_09_11,4.235042735,903.1613829,156.5482433,0,21.27817827,0.509357535,28.40608399,25.26555334,40.90284961
2022_09_11,4.735042735,914.5056089,152.7880537,0,21.25193452,0.506186864,13.26870693,24.51731514,41.80825893
2022_09_11,5.235042735,923.5747657,152.4105661,0,21.20764329,0.509379843,10.48444761,25.3395295,43.3363065
2022_09_11,5.735042735,961.7815673,159.3079272,2.67248,21.1824449,0.511984156,39.09987336,31.88453554,44.04156066
2022_09_11,6.235042735,984.4507689,155.2575479,31.17893333,21.14509004,0.508138221,17.46131236,26.76400481,43.58000709
2022_09_11,6.735042735,1102.306044,165.507178,105.0490215,21.14498042,0.510442175,104.4867103,39.81786841,39.04816558
2022_09_11,7.235042735,1264.012563,173.2973877,229.7818862,21.17425967,0.504204552,145.3512523,55.82713179,30.37943368
2022_09_11,7.735042735,1381.841409,166.6731848,386.5159856,21.20871759,0.49827455,127.6091509,61.21993174,19.56716179
2022_09_11,8.235042735,1388.499274,136.1273931,534.6844441,21.28089196,0.49927919,14.45754927,73.74136239,7.97960246
2022_09_11,8.735042735,1400.100403,124.7710076,635.6733518,21.38742531,0.497227283,16.65157493,54.84661846,-1.896517071
2022_09_11,9.235042735,1371.73861,119.9053395,794.7030431,21.52317858,0.49351347,-35.07256372,40.64466242,-16.34442781
2022_09_11,9.735042735,1360.406763,136.8438617,915.0502995,21.7045224,0.503669279,-20.28143336,51.89504329,-29.99011135
2022_09_11,10.23504274,1273.06724,123.5677024,898.2102492,21.92784335,0.501496723,-89.14169805,46.63863522,-36.66070491
2022_09_11,10.73504274,1223.587428,127.0052123,929.6632831,22.19071081,0.516831432,-56.58510637,37.20665569,-47.66084845
2022_09_11,11.23504274,1123.501014,118.2697853,1037.333391,22.43101814,0.521413997,-106.0111345,30.10862048,-62.562396
2022_09_11,11.73514856,1034.694856,120.1206443,1012.231168,22.61493638,0.532311235,-95.01721786,33.23506043,-67.36629888
2022_09_11,12.22493895,952.846662,118.1951435,981.0514188,22.66080568,0.526596331,-99.18669606,30.73918025,-67.034353
2022_09_11,12.6915404,903.9888793,159.5829864,951.1707733,22.55286915,0.634051131,-39.3439623,41.95657117,-61.47587131
2022_09_11,13.21587302,774.6200699,114.8292244,928.0627318,23.04202082,0.548981873,-108.0580248,41.43669196,-76.93276988
2022_09_11,13.74445767,743.256833,104.8504576,867.3311133,23.08414943,0.540237555,-39.04440269,33.76821121,-74.65728575
2022_09_11,14.24107448,701.822524,107.5852728,712.9468547,23.15416978,0.521973036,-33.30282289,33.79421209,-67.59379441
2022_09_11,14.74107448,629.8832975,105.6957461,642.8456485,23.10578286,0.539334393,-76.21295175,22.48298787,-61.62023153
2022_09_11,15.24107448,607.2172317,108.1354075,480.5895658,23.02611117,0.536899925,-20.42597257,35.93692621,-48.9090347
2022_09_11,15.74107448,612.2958038,128.7318274,399.8441231,22.91259739,0.53828223,3.721551522,44.13528674,-40.03503921
2022_09_11,16.24107448,584.6906395,129.8107603,220.9592759,22.76358911,0.529745789,-27.55299,35.17059093,-23.91072385
2022_09_11,16.74107448,563.0188229,123.6718577,129.7294885,22.58795893,0.52377338,-18.60443036,21.11115099,-12.24997359
2022_09_11,17.24107448,569.4111924,124.4703744,49.14393778,22.43472327,0.511520137,11.03916374,31.10207385,-2.015390548
2022_09_11,17.74107448,595.4527425,141.561621,14.99558222,22.31946889,0.504391838,27.04076391,38.76904438,4.057594557
2022_09_11,18.23504274,601.0194362,139.6508842,1.781653333,22.32680787,0.520417593,11.77210976,30.12516642,4.615734988
2022_09_11,18.73504274,586.1276758,137.801012,0,22.23286295,0.517866527,-13.68330732,22.98775248,7.966228278
2022_09_11,19.23504274,609.0355624,142.5796495,0,22.14840077,0.51867272,22.69298814,14.77196909,10.88017328
2022_09_11,19.73504274,639.4008641,148.1262092,0,22.07428491,0.510161426,26.14254445,23.98074939,13.43717049
2022_09_11,20.23504274,646.124326,147.5708189,0,22.01864832,0.501855385,4.145237061,22.4624219,15.35663296
2022_09_11,20.73504274,649.9090627,144.1888594,0,21.93057968,0.507215351,5.902453199,24.02995416,18.39500118
2022_09_11,21.23504274,661.8071358,142.6858022,0,21.88057723,0.507794129,16.05006789,24.49185719,20.12008549
2022_09_11,21.73504274,675.3814768,144.8876712,0,21.8114275,0.506447166,15.48907997,19.86083001,22.50575123
2022_09_11,22.23504274,693.0708776,146.6769157,0,21.76536555,0.506496825,19.34166012,14.0636996,24.09488868
2022_09_11,22.73504274,708.7720562,150.5192446,0,21.71234551,0.510027725,13.30230467,16.63906526,25.92407991
2022_09_11,23.23504274,710.1968671,146.0874653,0,21.64970236,0.509005057,2.789841506,13.72080664,28.08526864
2022_09_11,23.73504274,726.2806612,140.5172797,0,21.61806956,0.509695896,19.68281913,20.44162841,29.17660012
2022_12_2023_02,0.162361712,975.7388232,140.3149729,0.477228571,6.265670996,0.454462705,6.140080698,19.89362159,16.36936193
2022_12_2023_02,0.662361712,970.9216432,135.622102,0,6.222582973,0.456620512,-3.53753072,17.04605198,16.4
2022_12_2023_02,1.162361712,985.6375054,139.0066484,0,6.179336219,0.461247693,17.87017785,23.90434333,16.4
2022_12_2023_02,1.662361712,987.371672,140.826838,0.477228571,6.14005772,0.452286723,0.147922912,21.17802192,16.36936193
2022_12_2023_02,2.162361712,1020.278294,148.2842166,0,6.10015873,0.447939025,34.19136944,17.48969891,16.4
2022_12_2023_02,2.662361712,1033.585547,153.1092048,0,6.098051948,0.449996236,13.93171621,15.27563505,16.4
2022_12_2023_02,3.162361712,1047.165376,150.8306668,0,6.067287157,0.459594672,14.01778433,23.53901464,16.4
2022_12_2023_02,3.662361712,1056.732656,156.825667,0,6.065873016,0.450498169,9.474697582,21.83071336,16.4
2022_12_2023_02,4.162361712,1066.501926,155.8767494,0,6.023102453,0.458647452,10.76398035,16.85281375,16.4
2022_12_2023_02,4.662361712,1047.962666,150.4464528,0.477228571,6.022063492,0.45832752,-19.34018716,21.08989363,16.36936193
2022_12_2023_02,5.162361712,1077.673398,150.3451712,0,6.002626263,0.456479527,30.49824234,20.11079091,16.4
2022_12_2023_02,5.662361712,1109.83313,164.3537633,0,5.981789322,0.454924687,34.74490369,25.84004474,16.4
2022_12_2023_02,6.162361712,1110.929508,162.7519684,0.954457143,5.951096681,0.460474187,3.282808469,20.65606283,16.33872385
2022_12_2023_02,6.662361712,1136.055585,167.6674837,3.690567619,5.958066378,0.475489559,26.14466907,22.59542326,16.16306556
2022_12_2023_02,7.162361712,1138.068998,170.383534,30.78268901,5.933376623,0.464281367,2.142631365,16.06063382,14.42375137
2022_12_2023_02,7.662361712,1159.700744,177.3019736,107.0756299,5.943116883,0.471569627,23.04312662,17.54061206,9.525744558
2022_12_2023_02,8.162361712,1171.503658,164.7081658,243.3865714,5.990764791,0.473706979,15.23665418,27.06944335,0.774582114
2022_12_2023_02,8.664213564,1236.706403,167.7120607,371.2838286,6.164069264,0.455351838,62.32017255,51.01670607,-7.436421794
2022_12_2023_02,9.164213564,1295.545922,163.4316255,511.9361039,6.31038961,0.46140568,58.53717418,67.78311793,-16.46629787
2022_12_2023_02,9.664213564,1284.356288,131.8338789,597.3600182,6.481601732,0.451482,-15.18532748,58.650843,-21.95051317
2022_12_2023_02,10.16421356,1277.773986,128.9134534,727.3831117,6.67034632,0.468236932,-10.66441238,36.40251403,-30.29799577
2022_12_2023_02,10.66421356,1233.330902,119.3387019,801.7873844,6.894372294,0.477073335,-58.50718211,42.97629541,-35.07475008
2022_12_2023_02,11.16421356,1175.948341,106.4713837,863.9138676,7.086796537,0.474718888,-80.98184762,39.30231481,-39.0632703
2022_12_2023_02,11.66207681,1096.669484,101.0405206,871.5061402,7.360556111,0.458183807,-103.8962215,41.47053636,-39.5506942
2022_12_2023_02,12.16441799,994.2465937,94.20915422,814.7882476,7.446031746,0.46560641,-107.9275388,37.93404765,-35.9094055
2022_12_2023_02,12.64121212,1019.50351,115.1241552,755.5222436,7.332121212,0.510153991,16.5887323,89.05281237,-32.10452804
2022_12_2023_02,13.16696128,856.7913132,91.21450903,833.4797,7.602525253,0.53553815,-70.43732132,117.5069134,-37.10939674
2022_12_2023_02,13.66456553,887.2871548,114.0442212,690.3906667,7.652777778,0.487669216,57.26858949,56.70353533,-27.9230808
2022_12_2023_02,14.15972222,875.0283421,100.2066417,567.0026077,7.575,0.471722346,-17.84206031,45.24283214,-20.00156741
2022_12_2023_02,14.65972222,834.3750219,99.22744766,487.6333779,7.583803419,0.437469084,-36.30392644,26.93683935,-14.90606286
2022_12_2023_02,15.15972222,863.1217306,110.2153696,437.4301559,7.522735043,0.464592611,38.17329078,49.32626508,-11.68301601
2022_12_2023_02,15.65972222,884.9242939,124.1912054,313.4938959,7.503376068,0.452143064,27.34123467,32.06119417,-3.726308117
