time,month,pCO2
0.25,2022_09,772.4658753
0.75,2022_09,873.5909124
1.25,2022_09,919.9247874
1.75,2022_09,904.6868598
2.25,2022_09,924.0500418
2.75,2022_09,894.4745533
3.25,2022_09,931.8776676
3.75,2022_09,959.7458379
4.25,2022_09,1012.959688
4.75,2022_09,1007.87531
5.25,2022_09,1003.188432
5.75,2022_09,1076.032683
6.25,2022_09,1127.056164
6.75,2022_09,1334.181313
7.25,2022_09,1490.737114
7.75,2022_09,1485.521434
8.25,2022_09,1374.479645
8.75,2022_09,1256.639282
9.25,2022_09,1262.205855
9.75,2022_09,1268.863981
10.25,2022_09,1098.141095
10.75,2022_09,1060.007544
11.25,2022_09,943.313568
11.75,2022_09,881.4074081
12.25,2022_09,771.0772914
12.75,2022_09,671.0188849
13.25,2022_09,587.8747104
13.75,2022_09,533.8065448
14.25,2022_09,507.1878032
14.75,2022_09,450.4990341
15.25,2022_09,408.5942457
15.75,2022_09,428.1794785
16.25,2022_09,384.7843488
16.75,2022_09,373.7980438
17.25,2022_09,368.0586531
17.75,2022_09,417.311236
18.25,2022_09,416.5481076
18.75,2022_09,440.4035683
19.25,2022_09,488.8751747
19.75,2022_09,537.1242984
20.25,2022_09,568.6673185
20.75,2022_09,565.0735786
21.25,2022_09,569.8318939
21.75,2022_09,580.9023287
22.25,2022_09,607.2890487
22.75,2022_09,645.6901102
23.25,2022_09,644.8537372
23.75,2022_09,646.9709327
0.25,2022_10,667.4790329
0.75,2022_10,674.5544517
1.25,2022_10,681.9127999
1.75,2022_10,725.3302313
2.25,2022_10,697.2224041
2.75,2022_10,698.4935892
3.25,2022_10,705.9922399
3.75,2022_10,727.5800917
4.25,2022_10,737.0782109
4.75,2022_10,763.9327725
5.25,2022_10,765.9959436
5.75,2022_10,779.8340117
6.25,2022_10,821.2452331
6.75,2022_10,951.0237901
7.25,2022_10,1221.177681
7.75,2022_10,1432.160838
8.25,2022_10,1456.637023
8.75,2022_10,1435.416145
9.25,2022_10,1434.996267
9.75,2022_10,1412.072779
10.25,2022_10,1376.375576
10.75,2022_10,1277.859982
11.25,2022_10,1174.248414
11.75,2022_10,1051.365323
12.25,2022_10,1016.930881
12.75,2022_10,873.387877
13.25,2022_10,767.3704693
13.75,2022_10,713.5656405
