season,tpCO2max,tpCO2min,WT_ave,PAR_ave,sunrise,sunset,pCO2_maxmin,WT_maxmin,sunsetsunrise,sunrise2
1Autumn,9.5,18.5,30.50416667,453.068875,5.5,18,1734.251654,3.6,12.5,11_5:30-6:00
1Autumn,7.5,16.5,28.83333333,409.2235,6,18.5,2335.38655,2.1,12.5,12_6:00-6:30
1Autumn,7,19.5,31.03541667,523.63905,6,18.5,480.663366,2.7,12.5,12_6:00-6:30
1Autumn,8,19.5,30.34583333,352.850875,6,18.5,664.3946701,3.1,12.5,12_6:00-6:30
1Autumn,8,14,28.77083333,250.127425,5.5,18,1671.840738,1.1,12.5,11_5:30-6:00
1Autumn,9.5,15,28.24791667,105.2289,6,17.5,1981.171709,1.8,11.5,12_6:00-6:30
1Autumn,6.5,12.5,27.21875,326.54365,5.5,17.5,2494.915558,1.4,12,11_5:30-6:00
1Autumn,6.5,15.5,26.34791667,293.9728,5.5,17.5,1533.052212,2.4,12,11_5:30-6:00
1Autumn,7.5,16,25.96875,324.455775,6,18,1500.900227,2.6,12,12_6:00-6:30
1Autumn,7,16.5,26.32708333,455.9919,6,18,1966.407948,3.7,12,12_6:00-6:30
1Autumn,10.5,21,25.23541667,282.698275,6,18,1663.573943,2.3,12,12_6:00-6:30
1Autumn,10,0,25.83541667,470.18945,6,17.5,1940.052897,3.6,11.5,12_6:00-6:30
1Autumn,9,16,24.74166667,213.380825,6,17.5,1702.70642,1.7,11.5,12_6:00-6:30
1Autumn,11.5,20.5,23.9625,153.250025,6.5,17.5,896.6069696,1.7,11,13_6:30-7:00
1Autumn,8,14,23.00416667,187.0736,6,17.5,1365.363733,1.2,11.5,12_6:00-6:30
1Autumn,8,14.5,22.31666667,162.0191,6.5,18,1103.764734,2.5,11.5,13_6:30-7:00
1Autumn,10.5,14.5,21.47083333,176.634225,6.5,17,699.3496609,1.4,10.5,13_6:30-7:00
1Autumn,7.5,12.5,21.32916667,439.706475,6,17.5,1085.334975,2,11.5,12_6:00-6:30
1Autumn,8,17,17.16666667,339.0709,6.5,17,996.4859843,2.4,10.5,13_6:30-7:00
1Autumn,7,14.5,17.62291667,129.44825,7,17,862.4542264,3.5,10,14_7:00-7:30
1Autumn,8.5,1,16.53333333,269.75345,6.5,17,1205.990864,1.8,10.5,13_6:30-7:00
1Autumn,8.5,20,16.30416667,271.42375,6.5,17,1149.610078,2.1,10.5,13_6:30-7:00
1Autumn,8.5,0,15.72916667,217.139,6.5,17,984.6928982,2.2,10.5,13_6:30-7:00
1Autumn,7.5,16.5,14.90833333,136.9646,6.5,17,1152.105676,1.6,10.5,13_6:30-7:00
1Autumn,12.5,18.5,15.13333333,310.258225,6.5,17,1295.817316,3.3,10.5,13_6:30-7:00
1Autumn,17,14.5,14.1125,132.78885,6.5,16.5,1123.694518,2,10,13_6:30-7:00
2Winter,8,14.5,12.06458333,136.9646,6.5,16,1153.605202,1,9.5,13_6:30-7:00
2Winter,8.5,15.5,11.60625,231.754125,6.5,16.5,1175.603518,1.6,10,13_6:30-7:00
2Winter,8.5,15,8.745833333,167.447575,7,17,887.2088897,1.5,10,14_7:00-7:30
2Winter,11.5,19,8.177083333,192.502075,7,16.5,804.5439453,0.9,9.5,14_7:00-7:30
2Winter,9,13,5.4125,210.040225,7,17,1070.319856,2.8,10,14_7:00-7:30
2Winter,11.5,23.5,5.566666667,189.161475,7.5,17,1300.606847,2.7,9.5,15_7:30-8:00
2Winter,9.5,18.5,5.875,249.292275,7,17,1066.639012,2.5,10,14_7:00-7:30
2Winter,9.5,16,5.527083333,258.8965,7,17.5,983.3507779,2.1,10.5,14_7:00-7:30
2Winter,10,21.5,5.533333333,222.98505,7.5,17,1081.614748,1.8,9.5,15_7:30-8:00
2Winter,10.5,17.5,5.441666667,164.106975,7,17.5,1053.706069,2.4,10.5,14_7:00-7:30
2Winter,10.5,17,5.345833333,227.1608,7,17.5,939.5771242,2.2,10.5,14_7:00-7:30
2Winter,9.5,18,5.25,242.611075,7.5,17.5,1038.011901,2.3,10,15_7:30-8:00
2Winter,9.5,21.5,5.027083333,228.8311,7,17.5,989.5942251,2.7,10.5,14_7:00-7:30
2Winter,10.5,17.5,4.875,111.07495,7,17,441.9360536,2.8,10,14_7:00-7:30
2Winter,9,16,6.733333333,208.7875,7,17,1701.08533,2.2,10,14_7:00-7:30
2Winter,9,17.5,4.645833333,117.75615,7,17,501.0544404,2.3,10,14_7:00-7:30
2Winter,11,17.5,4.2125,212.1281,7.5,17.5,554.9765394,2,10,15_7:30-8:00
2Winter,9,17.5,4,260.5668,7.5,17.5,579.6887975,1.3,10,15_7:30-8:00
2Winter,9.5,18,5.358333333,258.478925,7,17.5,553.1865254,2.5,10.5,14_7:00-7:30
2Winter,10,19.5,5.614583333,304.412175,7,17.5,335.5148547,4,10.5,14_7:00-7:30
2Winter,22.5,15,6.275,181.645125,6.5,17,839.9282468,2.8,10.5,13_6:30-7:00
2Winter,6.5,19,7.310416667,287.2916,6.5,17.5,707.0424974,3.6,11,13_6:30-7:00
2Winter,6.5,10.5,8.327083333,174.963925,7.5,17.5,496.8068126,2.9,10,15_7:30-8:00
2Winter,7,13.5,6.983333333,263.9074,7,18,794.148452,2.3,11,14_7:00-7:30
2Winter,14,12.5,7.70625,284.78615,7,18,1459.000462,2.8,11,14_7:00-7:30
2Winter,7.5,13,8.283333333,425.9265,6.5,18,2413.62216,3.5,11.5,13_6:30-7:00
2Winter,5.5,12,9.233333333,396.69625,6.5,18,2174.015078,3.5,11.5,13_6:30-7:00
3Spring,3.5,13,15.05,298.14855,7,18,5065.605715,3.2,11,14_7:00-7:30
3Spring,7,11.5,13.75208333,369.97145,6.5,18.5,2733.343034,3.1,12,13_6:30-7:00
3Spring,6,13,16.16041667,215.4687,6,18,2826.56426,1.6,12,12_6:00-6:30
3Spring,7,10,14.87083333,298.566125,6,18,2641.385615,2.6,12,12_6:00-6:30
3Spring,6,16.5,15.25416667,474.782775,6,18,3305.841344,3.6,12,12_6:00-6:30
3Spring,5,11.5,15.81666667,546.1881,5.5,18,3733.967209,3.9,12.5,11_5:30-6:00
3Spring,3.5,13.5,17.29791667,473.947625,6,18.5,3731.760912,3.4,12.5,12_6:00-6:30
3Spring,7,15,16.90331356,526.1445,6,18.5,2905.015136,3.444203056,12.5,12_6:00-6:30
3Spring,7,13,17.74375,493.57365,5.5,18.5,1867.491458,2.2,13,11_5:30-6:00
3Spring,7,15,18.3875,161.601525,5.5,18.5,1084.845553,2.2,13,11_5:30-6:00
3Spring,8,15.5,18.82291667,610.077075,5.5,18.5,1515.025114,3.4,13,11_5:30-6:00
3Spring,23.5,17.5,18.74375,333.22485,5.5,18.5,1969.962493,3.4,13,11_5:30-6:00
3Spring,3.5,13,18.61666667,584.187425,5,18.5,1899.706687,3.7,13.5,10_5:00-5:30
3Spring,7.5,13,20.80416667,534.496,5.5,19,1475.962653,3.3,13.5,11_5:30-6:00
3Spring,6.5,13,21.22291667,382.916275,5,18.5,1418.366504,1.4,13.5,10_5:00-5:30
3Spring,17.5,10,21.24166667,387.5096,5,19,376.0049874,2.8,14,10_5:00-5:30
3Spring,17.5,12,20.56666667,154.920325,5.5,18.5,1022.684455,1,13,11_5:30-6:00
3Spring,6,11,20.48125,485.22215,5,18.5,861.391573,2,13.5,10_5:00-5:30
3Spring,5.5,16.5,24.81041667,589.198325,5,18.5,1053.321089,4.1,13.5,10_5:00-5:30
3Spring,6,12.5,23.38541667,516.1227,5,19,2596.790674,4,14,10_5:00-5:30
3Spring,6.5,17.5,23.05208333,430.519825,5,19,1294.646676,2,14,10_5:00-5:30
4Summer,5,13,23.41335328,58.878075,6,18.5,1592.559889,1.352583491,12.5,12_6:00-6:30
4Summer,6,16,22.79558679,496.91425,5,19,5761.834045,2.809211867,14,10_5:00-5:30
4Summer,13,18,23.45237012,639.307325,5,19.5,2781.792874,3.745615822,14.5,10_5:00-5:30
4Summer,4.5,19.5,23.96392413,548.275975,5,19.5,2385.491277,3.329436286,14.5,10_5:00-5:30
4Summer,5.5,13,23.19225791,428.43195,5,19,2909.243042,2.080897679,14,10_5:00-5:30
4Summer,5.5,14,24.61420465,448.057975,5,19,3499.618512,2.913256751,14,10_5:00-5:30
4Summer,6,18,25.55960185,288.2866723,5,19,1593.118118,1.872807911,14,10_5:00-5:30
4Summer,5,16,25.12349883,389.3575915,4.5,19,1948.87932,2.497077215,14.5,09_4:30-5:00
